latitiude ,longitude ,Active?
44.57654,-123.273,y
44.572856,-123.286714,y
44.5728,-123.2864,y
44.574476,-123.265443,y
44.579311,-123.2818,y
44.56953049,-123.2627106,y
44.57857895,-123.2677536,y
44.564128,-123.285476,y
44.58278656,-123.2716141,y
44.584503,-123.273092,y
44.579073,-123.261832,y
44.58383942,-123.2692184,y
44.57375,-123.25515,y
44.55747,-123.26719,y
44.58881378,-123.2730713,y
44.587646,-123.268001,y
44.59078,-123.2859,y
44.588865,-123.294247,y
44.586926,-123.297012,y
44.5867,-123.2981,y
44.5521,-123.2897,y
44.587402,-123.297867,y
44.551262,-123.293351,y
44.59556961,-123.2682571,y
44.5513961,-123.2957983,y
44.595041,-123.288868,y
44.5882,-123.3068,y
44.5464,-123.2592,y
44.594714,-123.246317,y
44.5947,-123.3056,y
44.55874,-123.316456,y
44.596064,-123.306615,y
44.59729385,-123.3047867,y
44.59729385,-123.3047867,y
44.5379,-123.2806,y
44.60383224,-123.2899628,y
44.53988,-123.255703,y
44.594184,-123.2371,y
44.5915,-123.2338,y
44.5994,-123.2456,y
44.589173,-123.32095,y
44.59791565,-123.2365341,y
44.53262,-123.26175,y
44.5374,-123.30379,y
44.579528,-123.335528,y
44.617839,-123.281718,y
44.588782,-123.342159,y
44.58823013,-123.3442001,y
44.6019,-123.3391,y
44.597014,-123.345063,y
44.6225,-123.2375,y
44.632303,-123.276888,y
44.63098526,-123.2471008,y
44.636425,-123.261782,y
44.64217377,-123.2595062,y
44.6412,-123.2551,y
44.641057,-123.243399,y
44.64114167,-123.2378472,y
44.66443253,-123.2920303,y
44.6673,-123.2802,y
44.45911026,-123.3378601,y
44.4562,-123.3335,y
44.4743,-123.389,y
44.463,-123.398,y
44.473069,-123.417803,y